,MAE,RMSE,MAPE,sMAPE,R2,num_series
ARIMA,2597673668360113895931857637617201640856753359948174284862457870825816064.0000,70425227140270878134535337064804672361254057008305556385628514284604489728.0000,27819269125040943390433860392484742681324791562894347062516446896796467200.0000,47.7395,-27489949395458760626818390259178770997996636127247713992281058373592941953260079841048130945934224180592819933318449890360979045869175691715501096960.0000,245.0
Prophet,0.0330,0.0891,0.3524,0.3484,0.9560,245.0
